,,,,,
,Data Dictionary,,,,
,Position,Variable,Variable Label,Value,Value Label
,1,ID,ID,,
,2,ID_2019,Respondent ID from 2019 data file,,
,3,ID_2016,Respondent ID from 2016 data file,,
,4,Mode,Mode of survey completion,1,Hard copy
,,,,2,Online
,5,IntDate,Date of survey completion,,
,6,Panel_retention,Whether panellists was already on panel,1,2019
,,,,2,2016
,,,,3,Both
,,,,4,New
,7,STATE,State,1,New South Wales
,,,,2,Victoria
,,,,3,Queensland
,,,,4,South Australia
,,,,5,Western Australia
,,,,6,Tasmania
,,,,7,Northern Territory
,,,,8,Australian Capital Territory
,,,,999,Item Skipped
,8,PCODE_r,EMBARGO VARIABLE PCODE_r Postcode PLEASE CONTACT ADA TO REQUEST RESTRICTED DATA,9,Restricted Data
,9,sampsrc,Sample source,1,Panel - completers from 2019
,,,,2,GNAF
,,,,3,Youth panel
,10,accesstype,Online access mode,1,Accessing generic link from Invitation or Reminder letters
,,,,11,QR code from Invitation letter
,,,,12,QR code from Reminder letter
,,,,13,QR code from Hard Copy questionnaire letter
,,,,14,QR code from Hard Copy questionnaire letter 2
,,,,22,Invitation SMS to panelists
,,,,31,ICS helpdesk email link
,,,,32,Invitation email to panelists
,,,,41,CATI Reminder email link
,,,,96,Youth boost sample
,,,,999,Item Skipped
,11,PANEL_FLAG,Flag whether the same panellist completed as 2019,1,Same person
,,,,2,Different person
,,,,999,Item skipped
,12,PANEL,PANEL. Did you personally complete the Australian Election Study in 2019?,1,Yes
,,,,2,"No, but someone else in my household did"
,,,,3,No
,,,,999,Item skipped
,13,CITIZEN,CITIZEN. Just some questions about yourself before we start.Are you currently an Australian citizen?,1,Yes
,,,,2,No
,,,,999,Item Skipped
,14,AGE,AGE. Recoded age from year of birth,1,Yes
,,,,2,No
,,,,999,Item Skipped
,15,A1,"A1. Generally speaking, how much interest do you usually have in what's going on in politics?",1,A good deal
,,,,2,Some
,,,,3,Not much
,,,,4,None
,,,,999,Item skipped
,16,A2_1,A2_1. How much attention did you pay to reports about the election campaign in the newspapers?,1,A good deal
,,,,2,Some
,,,,3,Not much
,,,,4,None at all
,,,,999,Item skipped
,17,A2_2,A2_2. How much attention did you pay to reports about the election campaign on television?,1,A good deal
,,,,2,Some
,,,,3,Not much
,,,,4,None at all
,,,,999,Item skipped
,18,A2_3,A2_3. How much attention did you pay to reports about the election campaign on the radio?,1,A good deal
,,,,2,Some
,,,,3,Not much
,,,,4,None at all
,,,,999,Item skipped
,19,A2_4,A2_4. How much attention did you pay to reports about the election campaign on the internet?,1,A good deal
,,,,2,Some
,,,,3,Not much
,,,,4,None at all
,,,,999,Item skipped
,20,A3,"A3. And, how much interest would you say you took in the election campaign overall?",1,A good deal
,,,,2,Some
,,,,3,Not much
,,,,4,None at all
,,,,999,Item skipped
,21,A4_1,A4_1. How often did you do the following during the recent election... Discuss politics with others in person (i.e. face to face or over the phone)?,1,Frequently
,,,,2,Occasionally
,,,,3,Rarely
,,,,4,Not at all
,,,,999,Item skipped
,22,A4_2,A4_2. How often did you do the following during the recent election... Discuss politics with others online (i.e.through email or on a social network site like Facebook or Twitter)?,1,Frequently
,,,,2,Occasionally
,,,,3,Rarely
,,,,4,Not at all
,,,,999,Item skipped
